uid,platform,component,componentgroup,createdBy.user.user_id,modifiedBy.user.user_id,updated, applications[0].id
config:component:aggregator:time_series.ets_spark_toolkit,  eikon, ETS_Spark_Toolkit,  Time_Series,138890,138890, 2017-11-21T09:40:53.212Z,203893
config:component:aggregator:ecp_derived_store.sdiadapter_fmm,  content, SDIAdapter_FMM,  ECP_Derived_Store,138890,138890, 2017-10-24T20:13:15.254Z,204618
config:component:aggregator:ecp_derived_store.sdiadapter_evm,  content, SDIAdapter_EVM,  ECP_Derived_Store,138890,138890, 2017-10-24T20:10:42.914Z,204618
config:component:aggregator:venues_td_emea.twebapa,  elektron, twebapa,  Venues_TD_EMEA,138890,138890, 2017-11-09T17:39:24.790Z,200048
config:component:aggregator:ecp_derived_store.dap_cl3,  content, DAP_CL3,  ECP_Derived_Store,138890,138890, 2017-10-31T05:03:51.932Z,204618
config:component:aggregator:dco.mw_ibm_mq,  other, mw_ibm_mq,  DCO,138890,138890, 2017-11-16T21:42:20.949Z,200364
config:component:aggregator:unified_transactions_platform.utp_mapi_ads,  transactions, UTP_MAPI_ADS,  Unified_Transactions_Platform,138890,138890, 2017-12-06T05:31:09.961Z,200067
config:component:aggregator:eikon_library_core.auditservice,  eikon, AuditService,  Eikon_Library_Core,138890,138890, 2018-01-16T08:32:44.725Z,202641
config:component:aggregator:collections.td_persistence_converter,  elektron, td_persistence_converter,  Collections,138890,138890, 2017-12-29T12:06:55.755Z,200048
config:component:aggregator:benchmark_fixing.eciborg_core_zeppelin,  elektron, eciborg_core_zeppelin,  Benchmark_Fixing,138890,138890, 2017-12-04T20:08:51.681Z,202032
config:component:aggregator:ecp_derived_store.search_common,  content, Search_Common,  ECP_Derived_Store,138890,138890, 2017-11-28T07:42:38.363Z,204618
config:component:aggregator:venues_td_emea.bmeapa,  elektron, bmeapa,  Venues_TD_EMEA,138890,138890, 2018-01-08T12:29:15.552Z,200048
config:component:aggregator:ecp_derived_store.dap_dealsni,  content, DAP_DealsNI,  ECP_Derived_Store,138890,138890, 2018-01-24T14:35:57.855Z,204618
config:component:aggregator:dco.bigdata_edgenode,  other, BigData_Edgenode,  DCO,138890,138890, 2017-12-19T18:23:06.627Z,202826
config:component:aggregator:dco.mw_common_base,  other, mw_common_base,  DCO,138890,138890, 2017-11-28T15:18:34.084Z,200364
config:component:aggregator:compass_deployment_automation.upgrade3to4,  eikon, upgrade3to4,  Compass Deployment Automation,138890,138890, 2018-03-05T06:40:47.398Z,202929
config:component:aggregator:compass_deployment_automation.cda_base,  eikon, cda_base,  Compass Deployment Automation,138890,138890, 2018-03-05T06:40:14.042Z,202929
config:component:aggregator:compass_deployment_automation.cda_agent_only_glu,  eikon, cda_agent_only_glu,  Compass Deployment Automation,138890,138890, 2018-03-05T06:47:26.611Z,202929
config:component:aggregator:worldcheck_one_onprem.app,  risk, app,  WorldCheck_One_OnPrem,138890,138890, 2018-02-17T07:11:17.360Z,202680
config:component:aggregator:connected_risk.compass_monitoring,  risk, Compass_Monitoring,  Connected_Risk,138890,138890, 2018-02-28T11:18:52.763Z,204164
config:component:aggregator:connected_risk.managed_service,  risk, Managed_Service,  Connected_Risk,138890,138890, 2018-02-28T11:16:44.102Z,204164
config:component:aggregator:ecp_derived_store.sdiadapter_dealsni,  content, SDIAdapter_DealsNI,  ECP_Derived_Store,138890,138890, 2018-02-26T11:33:48.573Z,204618
config:component:aggregator:venues_td_apac.ecg-apac,  elektron, ecg-apac,  Venues_TD_APAC,138890,138890, 2018-02-01T17:43:49.488Z,200048
config:component:aggregator:ecp.linked-data,  content, linked-data,  ECP,138890,138890, 2018-02-15T17:54:19.110Z,204806
config:component:aggregator:knowledgebase.couchbase,  trta_onesource, couchbase,  Knowledgebase,138890,138890, 2018-03-05T12:21:29.346Z,202988
config:component:aggregator:dcis_service_implementation.genhost_provisioning,  other, Genhost_Provisioning,  DCIS_Service_Implementation,138890,138890, 2018-03-05T12:36:29.842Z,205039
config:component:aggregator:venues_td_apac.szsel2,  elektron, szsel2,  Venues_TD_APAC,138890,138890, 2018-03-22T12:25:49.958Z,200048
config:component:aggregator:legalone.legalcore_webservices,  legal, legalcore_webservices,  LegalOne,138890,138890, 2018-03-05T12:13:42.115Z,204326
config:component:aggregator:eikon_analytics_platform.ep_financialevents,  eikon, ep_financialevents,  Eikon_Analytics_Platform, , , 2017-09-11T13:53:00.580Z,203802
config:component:aggregator:otc_apps.smg_sap_erp,  ebs, SMG_SAP_ERP,  OTC_Apps,138890,138890, 2017-09-26T11:49:49.695Z,201164
config:component:aggregator:eikon_analytics_platform.ep_filebeat,  eikon, ep_filebeat,  Eikon_Analytics_Platform, , , 2017-09-11T13:52:32.012Z,203802
config:component:aggregator:gcms.classificationservice_sensu_mon,  legal, classificationservice_sensu_mon,  GCMS,138890,138890, 2017-10-11T08:32:37.081Z,202977
config:component:aggregator:collaboration.nt_task_scheduler,  eikon, nt_task_scheduler,  Collaboration,138890,138890, 2017-10-20T16:01:37.240Z,201965
config:component:aggregator:wm_envision.report_framework,  wealth_management, report_framework,  WM_Envision,138890,138890, 2017-10-06T15:07:53.357Z,202863
config:component:aggregator:fixed_income.gissing_system_monitoring,  content, Gissing_system_monitoring,  Fixed Income,138890,138890, 2017-10-10T13:38:42.997Z,201989
config:component:aggregator:wm_envision.logo_service,  wealth_management, logo_service,  WM_Envision,138890,138890, 2017-10-06T15:08:47.679Z,202863
config:component:aggregator:ecp_derived_store.sdiadapter_icw,  content, SDIAdapter_ICW,  ECP_Derived_Store,138890,138890, 2017-10-24T20:12:27.568Z,204618
config:component:aggregator:ecp_derived_store.vap_edf_equity,  content, VAP_EDF_Equity,  ECP_Derived_Store,138890,138890, 2017-10-12T07:04:08.886Z,204618
config:component:aggregator:fixed_income.emaxx,  content, eMaXX,  Fixed Income,138890,138890, 2017-10-17T06:34:17.886Z,201988
config:component:aggregator:lynx.docker,  editorial, Docker,  Lynx,138890,138890, 2017-10-19T08:07:20.515Z,204394
config:component:aggregator:benchmark_fixing.eciborg_core_acl,  elektron, eciborg_core_acl,  Benchmark_Fixing,138890,138890, 2017-11-10T15:48:35.715Z,202032
config:component:aggregator:ecp_derived_store.sdiadapter_eras,  content, SDIAdapter_ERAS,  ECP_Derived_Store,138890,138890, 2017-10-24T20:12:52.260Z,204618
config:component:aggregator:ecp_derived_store.vap_search_cl3,  content, VAP_Search_CL3,  ECP_Derived_Store,138890,138890, 2017-10-31T05:02:49.468Z,204618
config:component:aggregator:cxd_analytics.cxd,  ebs, cxd,  CXD_Analytics,138890,138890, 2017-11-27T13:08:09.213Z,204985
config:component:aggregator:mdrm_pmdm.pmdm,  ebs, PMDM,  MDRM_PMDM,138890,138890, 2017-12-06T05:39:48.957Z,201430
config:component:aggregator:dco_ssse_coreservices.cs_ipdb,  other, CS_IPDB,  DCO_SSSE_CoreServices,138890,138890, 2017-10-30T11:37:36.332Z,204084
config:component:aggregator:value_add.edsh_core,  elektron, edsh_core,  Value Add,138890,138890, 2017-11-06T12:26:14.108Z,202032
config:component:aggregator:dco.dba_phase60,  other, dba_phase60,  DCO,138890,138890, 2017-11-28T15:19:54.113Z,200364
config:component:aggregator:mdrm_pmdm.mdrm,  ebs, MDRM,  MDRM_PMDM,138890,138890, 2017-12-06T05:38:11.533Z,201506
config:component:aggregator:common_tools.shared_rundeck_plugin,  eikon, Shared_Rundeck_Plugin,  Common_Tools,138890,138890, 2018-02-01T17:26:17.216Z,204294
config:component:aggregator:eikon_library_core.common,  eikon, Common,  Eikon_Library_Core,138890,138890, 2018-01-30T16:47:22.767Z,202641
config:component:aggregator:compass_tools.cpt_database,  eikon, CPT_Database,  Compass Tools,138890,138890, 2018-01-24T14:48:25.737Z,205032
config:component:aggregator:venues_td_emea.athensse,  elektron, athensse,  Venues_TD_EMEA,138890,138890, 2018-01-08T12:31:17.496Z,200048
config:component:aggregator:time_series.ets_ingestor,  eikon, ETS_Ingestor,  Time_Series,138890,138890, 2017-12-20T15:06:17.361Z,203893
config:component:aggregator:value_add.vul_config,  elektron, vul_config,  Value Add,138890,138890, 2018-01-18T11:00:55.607Z,202032
